fpr,tpr,file
0.0,0.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
0.0,0.07692307692307693,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
0.0,0.9230769230769231,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
0.2857142857142857,0.9230769230769231,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
0.2857142857142857,1.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
1.0,1.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_1/predictions.parquet
0.0,0.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/predictions.parquet
0.0,0.08333333333333333,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/predictions.parquet
0.0,1.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/predictions.parquet
1.0,1.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_10/predictions.parquet
0.0,0.0,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/predictions.parquet
0.0,0.07692307692307693,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/predictions.parquet
0.0,0.5384615384615384,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/predictions.parquet
0.14285714285714285,0.5384615384615384,/home/pardeep/pathology310_projects/single_slide_morphology/project_1_slideflow_msi_tcga_crc/automation/tcga_slide_triads/run-8635c038adcc/slideflow_project/mil/run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/00000-run-8635c038adcc_run-8635c038adcc_a9_approach9-chief_transmil_repeat_1_fold_2/predictions.parquet
